"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP8247","Scanner","The patient should receive enough drug to relieve the pain."
"CP8248","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8249","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8250","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8251","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8252","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP8253","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8254","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8255","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8256","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8257","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8258","Pump fault manager","Performs primary pump operation"
"CP8259","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8260","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8261","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8262","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8263","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP8264","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8265","Parameters","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8266","Security Status","The patient should receive enough drug to relieve the pain."
"CP8267","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8268","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8269","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8270","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP8271","Operation Thread","The patient should not receive so much drug that makes him unaware"
"CP8272","Drug Libary Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8273","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8274","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8275","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8276","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP8277","Pump","Performs primary pump operation"
"CP8278","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8279","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8280","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8281","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8282","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP8283","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8284","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8285","Pump fault manager","The patient should receive enough drug to relieve the pain."
"CP8286","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8287","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8288","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8289","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8290","ICE Bus Adapter","The patient should not receive so much drug that makes him unaware"
"CP8291","Commands","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8292","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8293","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8294","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8295","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP8296","Control Panel","Performs primary pump operation"
"CP8297","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
