"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP13761","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13762","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13763","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13764","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13765","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13766","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13767","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13768","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13769","Commands","The patient should not receive so much drug that makes him unaware"
"SCP13770","Parameters","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13771","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13772","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13773","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13774","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13775","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13776","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13777","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13778","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13779","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13780","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13781","Patient Button","Performs primary pump operation"
"SCP13782","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13783","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13784","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13785","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13786","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13787","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13788","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13789","Control Panel","The patient should receive enough drug to relieve the pain."
"SCP13790","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13791","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13792","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13793","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13794","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13795","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13796","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13797","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13798","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13799","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13800","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP13801","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13802","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13803","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13804","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
