"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS22681","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22682","blockage between pump and patient"
"ECS22683","blockage between reservoir and pump"
"ECS22684","bubble detection"
"ECS22685","dose reaches maximum allowed by drug library"
"ECS22686","clinician not authorized to operate pump"
"ECS22687","basal rate or bolus VTBI exceeded hard limit"
"ECS22688","power-on self test fails"
"ECS22689","PCA pump detects its own failure"
"ECS22690","pump fails to prime after loading drug reservoir"
"ECS22691","measured flow rate exceeds setting"
"ECS22692","measured flow rate below setting"
"ECS22693","pump temperature exceeds 55 C"
"ECS22694","ng drug reservoir"
"ECS22695","measured flow rate exceeds setting"
"ECS22696","patient not admitted to hospital"
"ECS22697","drug or prescription not intended for this patient"
"ECS22698","no audible alarm"
"ECS22699","indication of no ICE alarms enabled"
"ECS22700","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22701","blockage between pump and patient"
"ECS22702","blockage between reservoir and pump"
"ECS22703","bubble detection"
"ECS22704","dose reaches maximum allowed by drug library"
"ECS22705","clinician not authorized to operate pump"
"ECS22706","patient not admitted to hospital"
"ECS22707","the drug libary fails authenticity or integrity check"
"ECS22708","basal rate or bolus VTBI exceeded soft limit"
"ECS22709","measured flow rate below setting"
"ECS22710","pump temperature exceeds 55 C"
"ECS22711","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22712","blockage between pump and patient"
"ECS22713","blockage between reservoir and pump"
"ECS22714","bubble detection"
"ECS22715","dose reaches maximum allowed by drug library"
"ECS22716","clinician not authorized to operate pump"
"ECS22717","basal rate or bolus VTBI exceeded hard limit"
"ECS22718","power-on self test fails"
"ECS22719","PCA pump detects its own failure"
"ECS22720","pump fails to prime after loading drug reservoir"
"ECS22721","measured flow rate exceeds setting"
"ECS22722","measured flow rate below setting"
"ECS22723","pump temperature exceeds 55 C"
"ECS22724","ng drug reservoir"
"ECS22725","measured flow rate exceeds setting"
"ECS22726","patient not admitted to hospital"
"ECS22727","drug or prescription not intended for this patient"
"ECS22728","no audible alarm"
"ECS22729","indication of no ICE alarms enabled"
"ECS22730","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22731","blockage between pump and patient"
"ECS22732","blockage between reservoir and pump"
"ECS22733","bubble detection"
"ECS22734","dose reaches maximum allowed by drug library"
"ECS22735","clinician not authorized to operate pump"
"ECS22736","patient not admitted to hospital"
"ECS22737","the drug libary fails authenticity or integrity check"
"ECS22738","basal rate or bolus VTBI exceeded soft limit"
"ECS22739","measured flow rate below setting"
"ECS22740","pump temperature exceeds 55 C"
"ECS22741","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22742","blockage between pump and patient"
"ECS22743","blockage between reservoir and pump"
"ECS22744","bubble detection"
"ECS22745","dose reaches maximum allowed by drug library"
"ECS22746","clinician not authorized to operate pump"
"ECS22747","basal rate or bolus VTBI exceeded hard limit"
"ECS22748","power-on self test fails"
"ECS22749","PCA pump detects its own failure"
"ECS22750","pump fails to prime after loading drug reservoir"
"ECS22751","measured flow rate exceeds setting"
"ECS22752","measured flow rate below setting"
"ECS22753","pump temperature exceeds 55 C"
"ECS22754","ng drug reservoir"
"ECS22755","measured flow rate exceeds setting"
"ECS22756","patient not admitted to hospital"
"ECS22757","drug or prescription not intended for this patient"
"ECS22758","no audible alarm"
"ECS22759","indication of no ICE alarms enabled"
"ECS22760","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22761","blockage between pump and patient"
"ECS22762","blockage between reservoir and pump"
"ECS22763","bubble detection"
"ECS22764","dose reaches maximum allowed by drug library"
"ECS22765","clinician not authorized to operate pump"
"ECS22766","patient not admitted to hospital"
"ECS22767","the drug libary fails authenticity or integrity check"
"ECS22768","basal rate or bolus VTBI exceeded soft limit"
"ECS22769","measured flow rate below setting"
"ECS22770","pump temperature exceeds 55 C"
"ECS22771","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22772","blockage between pump and patient"
"ECS22773","blockage between reservoir and pump"
"ECS22774","bubble detection"
"ECS22775","dose reaches maximum allowed by drug library"
"ECS22776","clinician not authorized to operate pump"
"ECS22777","basal rate or bolus VTBI exceeded hard limit"
"ECS22778","power-on self test fails"
"ECS22779","PCA pump detects its own failure"
"ECS22780","pump fails to prime after loading drug reservoir"
"ECS22781","measured flow rate exceeds setting"
"ECS22782","measured flow rate below setting"
"ECS22783","pump temperature exceeds 55 C"
"ECS22784","ng drug reservoir"
"ECS22785","measured flow rate exceeds setting"
"ECS22786","patient not admitted to hospital"
"ECS22787","drug or prescription not intended for this patient"
"ECS22788","no audible alarm"
"ECS22789","indication of no ICE alarms enabled"
"ECS22790","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22791","blockage between pump and patient"
"ECS22792","blockage between reservoir and pump"
"ECS22793","bubble detection"
"ECS22794","dose reaches maximum allowed by drug library"
"ECS22795","clinician not authorized to operate pump"
"ECS22796","patient not admitted to hospital"
"ECS22797","the drug libary fails authenticity or integrity check"
"ECS22798","basal rate or bolus VTBI exceeded soft limit"
"ECS22799","measured flow rate below setting"
"ECS22800","pump temperature exceeds 55 C"
"ECS22801","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22802","blockage between pump and patient"
"ECS22803","blockage between reservoir and pump"
"ECS22804","bubble detection"
"ECS22805","dose reaches maximum allowed by drug library"
"ECS22806","clinician not authorized to operate pump"
"ECS22807","basal rate or bolus VTBI exceeded hard limit"
"ECS22808","power-on self test fails"
"ECS22809","PCA pump detects its own failure"
"ECS22810","pump fails to prime after loading drug reservoir"
"ECS22811","measured flow rate exceeds setting"
"ECS22812","measured flow rate below setting"
"ECS22813","pump temperature exceeds 55 C"
"ECS22814","ng drug reservoir"
"ECS22815","measured flow rate exceeds setting"
"ECS22816","patient not admitted to hospital"
"ECS22817","drug or prescription not intended for this patient"
"ECS22818","no audible alarm"
"ECS22819","indication of no ICE alarms enabled"
"ECS22820","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22821","blockage between pump and patient"
"ECS22822","blockage between reservoir and pump"
"ECS22823","bubble detection"
"ECS22824","dose reaches maximum allowed by drug library"
"ECS22825","clinician not authorized to operate pump"
"ECS22826","patient not admitted to hospital"
"ECS22827","the drug libary fails authenticity or integrity check"
"ECS22828","basal rate or bolus VTBI exceeded soft limit"
"ECS22829","measured flow rate below setting"
"ECS22830","pump temperature exceeds 55 C"
"ECS22831","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22832","blockage between pump and patient"
"ECS22833","blockage between reservoir and pump"
"ECS22834","bubble detection"
"ECS22835","dose reaches maximum allowed by drug library"
"ECS22836","clinician not authorized to operate pump"
"ECS22837","basal rate or bolus VTBI exceeded hard limit"
"ECS22838","power-on self test fails"
"ECS22839","PCA pump detects its own failure"
"ECS22840","pump fails to prime after loading drug reservoir"
"ECS22841","measured flow rate exceeds setting"
"ECS22842","measured flow rate below setting"
"ECS22843","pump temperature exceeds 55 C"
"ECS22844","ng drug reservoir"
"ECS22845","measured flow rate exceeds setting"
"ECS22846","patient not admitted to hospital"
"ECS22847","drug or prescription not intended for this patient"
"ECS22848","no audible alarm"
"ECS22849","indication of no ICE alarms enabled"
"ECS22850","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22851","blockage between pump and patient"
"ECS22852","blockage between reservoir and pump"
"ECS22853","bubble detection"
"ECS22854","dose reaches maximum allowed by drug library"
"ECS22855","clinician not authorized to operate pump"
"ECS22856","patient not admitted to hospital"
"ECS22857","the drug libary fails authenticity or integrity check"
"ECS22858","basal rate or bolus VTBI exceeded soft limit"
"ECS22859","measured flow rate below setting"
"ECS22860","pump temperature exceeds 55 C"
"ECS22861","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22862","blockage between pump and patient"
"ECS22863","blockage between reservoir and pump"
"ECS22864","bubble detection"
"ECS22865","dose reaches maximum allowed by drug library"
"ECS22866","clinician not authorized to operate pump"
"ECS22867","basal rate or bolus VTBI exceeded hard limit"
"ECS22868","power-on self test fails"
"ECS22869","PCA pump detects its own failure"
"ECS22870","pump fails to prime after loading drug reservoir"
"ECS22871","measured flow rate exceeds setting"
"ECS22872","measured flow rate below setting"
"ECS22873","pump temperature exceeds 55 C"
"ECS22874","ng drug reservoir"
"ECS22875","measured flow rate exceeds setting"
"ECS22876","patient not admitted to hospital"
"ECS22877","drug or prescription not intended for this patient"
"ECS22878","no audible alarm"
"ECS22879","indication of no ICE alarms enabled"
"ECS22880","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22881","blockage between pump and patient"
"ECS22882","blockage between reservoir and pump"
"ECS22883","bubble detection"
"ECS22884","dose reaches maximum allowed by drug library"
"ECS22885","clinician not authorized to operate pump"
"ECS22886","patient not admitted to hospital"
"ECS22887","the drug libary fails authenticity or integrity check"
"ECS22888","basal rate or bolus VTBI exceeded soft limit"
"ECS22889","measured flow rate below setting"
"ECS22890","pump temperature exceeds 55 C"
"ECS22891","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22892","blockage between pump and patient"
"ECS22893","blockage between reservoir and pump"
"ECS22894","bubble detection"
"ECS22895","dose reaches maximum allowed by drug library"
"ECS22896","clinician not authorized to operate pump"
"ECS22897","basal rate or bolus VTBI exceeded hard limit"
"ECS22898","power-on self test fails"
"ECS22899","PCA pump detects its own failure"
"ECS22900","pump fails to prime after loading drug reservoir"
"ECS22901","measured flow rate exceeds setting"
"ECS22902","measured flow rate below setting"
"ECS22903","pump temperature exceeds 55 C"
"ECS22904","ng drug reservoir"
"ECS22905","measured flow rate exceeds setting"
"ECS22906","patient not admitted to hospital"
"ECS22907","drug or prescription not intended for this patient"
"ECS22908","no audible alarm"
"ECS22909","indication of no ICE alarms enabled"
"ECS22910","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22911","blockage between pump and patient"
