"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC9497","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9498","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9499","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9500","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9501","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9502","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9503","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9504","ICE app","Air-in-line Embolism","bubble detection"
"EC9505","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9506","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9507","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9508","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9509","Patient","Sound Failure","no audible alarm"
"EC9510","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9511","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9512","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9513","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9514","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9515","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9516","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9517","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9518","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9519","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9520","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9521","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9522","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9523","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9524","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9525","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9526","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9527","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9528","ICE app","Sound Failure","no audible alarm"
"EC9529","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9530","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9531","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9532","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9533","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9534","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9535","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9536","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9537","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9538","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9539","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9540","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9541","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9542","Clinician","Air-in-line Embolism","bubble detection"
"EC9543","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9544","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9545","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9546","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9547","Patient or Clinician","Sound Failure","no audible alarm"
"EC9548","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9549","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9550","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9551","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9552","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9553","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9554","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9555","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9556","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9557","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9558","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9559","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9560","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9561","Patient","Air-in-line Embolism","bubble detection"
"EC9562","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9563","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9564","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9565","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9566","Clinician","Sound Failure","no audible alarm"
"EC9567","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9568","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9569","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9570","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9571","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9572","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC9573","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9574","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9575","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9576","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9577","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9578","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9579","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9580","ICE app","Air-in-line Embolism","bubble detection"
"EC9581","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9582","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9583","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9584","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9585","Patient","Sound Failure","no audible alarm"
"EC9586","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9587","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9588","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9589","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9590","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9591","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9592","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9593","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9594","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9595","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9596","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9597","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9598","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9599","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9600","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9601","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9602","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9603","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9604","ICE app","Sound Failure","no audible alarm"
"EC9605","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9606","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9607","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9608","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9609","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9610","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9611","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9612","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9613","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9614","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9615","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9616","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9617","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9618","Clinician","Air-in-line Embolism","bubble detection"
"EC9619","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9620","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9621","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9622","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9623","Patient or Clinician","Sound Failure","no audible alarm"
"EC9624","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9625","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9626","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9627","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9628","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9629","Patient","Internal Electronic Failure","PCA pump detects its own failure"
